date,campaign,mission,RED_Team,RED_Role,IndPerformance
2/19/18,C4,C4M4S2,HumanFactors,Meteor,10230.0000
2/27/18,C4,C4M4S3,Robotics,Drill,226.9200
2/27/18,C4,C4M4S3,Robotics,Ops,23103990.8800
2/27/18,C4,C4M4S3,Robotics,Mats,14502197.3500
2/27/18,C4,C4M4S3,Engineer,Bio,0.9600
2/27/18,C4,C4M4S3,Engineer,Fluid,0.6500
2/27/18,C4,C4M4S3,Engineer,Mech,332939.9900
2/27/18,C4,C4M4S3,Geology,Hydro,294508.4500
2/27/18,C4,C4M4S3,Geology,Sedi,1.0000
2/27/18,C4,C4M4S3,Geology,Struct,3888.1600
2/27/18,C4,C4M4S3,HumanFactors,Terrain,16736.0000
2/27/18,C4,C4M4S3,HumanFactors,Maint,1194.0000
2/27/18,C4,C4M4S3,HumanFactors,Meteor,4342.0000
3/13/18,C4,C4M4S4,Robotics,Drill,166.3100
3/13/18,C4,C4M4S4,Robotics,Ops,322452.0700
3/13/18,C4,C4M4S4,Robotics,Mats,131.7500
3/13/18,C4,C4M4S4,Engineer,Bio,0.7900
3/13/18,C4,C4M4S4,Engineer,Fluid,0.6500
3/13/18,C4,C4M4S4,Engineer,Mech,27082.6400
3/13/18,C4,C4M4S4,Geology,Hydro,275783.2700
3/13/18,C4,C4M4S4,Geology,Sedi,0.9600
3/13/18,C4,C4M4S4,Geology,Struct,1881.7600
3/13/18,C4,C4M4S4,HumanFactors,Terrain,0.0000
3/13/18,C4,C4M4S4,HumanFactors,Maint,924.0000
3/13/18,C4,C4M4S4,HumanFactors,Meteor,76.0000
5/15/18,C4,C4M5S1,Robotics,Drill,188.8000
5/15/18,C4,C4M5S1,Robotics,Ops,1341843.8800
5/15/18,C4,C4M5S1,Robotics,Mats,9927101.4800
5/15/18,C4,C4M5S1,Engineer,Bio,0.9600
5/15/18,C4,C4M5S1,Engineer,Fluid,0.5000
5/15/18,C4,C4M5S1,Engineer,Mech,224321.8900
5/15/18,C4,C4M5S1,Geology,Hydro,313261.8400
5/15/18,C4,C4M5S1,Geology,Sedi,0.6100
5/15/18,C4,C4M5S1,Geology,Struct,4625.2700
5/15/18,C4,C4M5S1,HumanFactors,Terrain,0.0000
5/15/18,C4,C4M5S1,HumanFactors,Maint,1294.0000
5/15/18,C4,C4M5S1,HumanFactors,Meteor,5021.0000
5/21/18,C4,C4M5S2,Robotics,Drill,192.2400
5/21/18,C4,C4M5S2,Robotics,Ops,1015958.4100
5/21/18,C4,C4M5S2,Robotics,Mats,2537073.9200
5/21/18,C4,C4M5S2,Engineer,Bio,0.4300
5/21/18,C4,C4M5S2,Engineer,Fluid,0.6500
5/21/18,C4,C4M5S2,Engineer,Mech,224251.0000
5/21/18,C4,C4M5S2,Geology,Hydro,313261.8400
5/21/18,C4,C4M5S2,Geology,Sedi,0.6100
5/21/18,C4,C4M5S2,Geology,Struct,4625.2700
5/21/18,C4,C4M5S2,HumanFactors,Terrain,4200.0000
5/21/18,C4,C4M5S2,HumanFactors,Maint,3648.0000
5/21/18,C4,C4M5S2,HumanFactors,Meteor,19153.0000
5/29/18,C4,C4M5S3,Robotics,Drill,200.4800
5/29/18,C4,C4M5S3,Robotics,Ops,10431603.9000
5/29/18,C4,C4M5S3,Robotics,Mats,29342015.8800
5/29/18,C4,C4M5S3,Engineer,Bio,0.8600
5/29/18,C4,C4M5S3,Engineer,Fluid,0.6800
5/29/18,C4,C4M5S3,Engineer,Mech,284086.1600
5/29/18,C4,C4M5S3,Geology,Hydro,278436.3300
5/29/18,C4,C4M5S3,Geology,Sedi,0.3900
5/29/18,C4,C4M5S3,Geology,Struct,16584.4700
5/29/18,C4,C4M5S3,HumanFactors,Terrain,23928.0000
5/29/18,C4,C4M5S3,HumanFactors,Maint,3801.0000
5/29/18,C4,C4M5S3,HumanFactors,Meteor,0.0000
